gameDuration,surrendered,win,blueTopSummonerId,blueTopChampionName,firstBloodTeam,blueJungleSummonerId,blueJungleChampionName,blueMiddleSummonerId,blueMiddleChampionName,blueBottomSummonerId,blueBottomChampionName,blueUtilitySummonerId,blueUtilityChampionName,redTopSummonerId,redTopChampionName,redJungleSummonerId,redJungleChampionName,redMiddleSummonerId,redMiddleChampionName,redBottomSummonerId,redBottomChampionName,redUtilitySummonerId,redUtilityChampionName,blueTopKills15,blueTopDeaths15,blueTopAssists15,blueJungleKills15,blueJungleDeaths15,blueJungleAssists15,blueMiddleKills15,blueMiddleDeaths15,blueMiddleAssists15,blueBottomKills15,blueBottomDeaths15,blueBottomAssists15,blueUtilityKills15,blueUtilityDeaths15,blueUtilityAssists15,redTopKills15,redTopDeaths15,redTopAssists15,redJungleKills15,redJungleDeaths15,redJungleAssists15,redMiddleKills15,redMiddleDeaths15,redMiddleAssists15,redBottomKills15,redBottomDeaths15,redBottomAssists15,redUtilityKills15,redUtilityDeaths15,redUtilityAssists15,blueHextechDragonKills15,redHextechDragonKills15,blueChemtechDragonKills15,redChemtechDragonKills15,blueMountainDragonKills15,redMountainDragonKills15,blueCloudDragonKills15,redCloudDragonKills15,blueOceanDragonKills15,redOceanDragonKills15,blueInfernalDragonKills15,redInfernalDragonKills15,blueGrubKills15,redGrubKills15,blueHeraldKills15,redHeraldKills15,blueTopGold15,blueTopLevel15,blueJungleGold15,blueJungleLevel15,blueMiddleGold15,blueMiddleLevel15,blueBottomGold15,blueBottomLevel15,blueUtilityGold15,blueUtilityLevel15,redTopGold15,redTopLevel15,redJungleGold15,redJungleLevel15,redMiddleGold15,redMiddleLevel15,redBottomGold15,redBottomLevel15,redUtilityGold15,redUtilityLevel15,goldDifference15,rank,division
1926,No,Blue,iFU4aBrUreshJ8DxLmHaP_Jwe05erx3_4lZFFkf99d-eiUFBeB3-SFAMrrX4s17H3SjdTp8GCX5ZoA,Renekton,blue,FKG4gvUgybI19SpvE7D0uCIJ9dU1upgC1Cn_5_riQgpgEP_hBfiHr4wx1Hi7o-O9nN336Cjsag0JAA,Graves,o-btHJWJF43J3YotAG1WzC-YcTTVpG_zVbn2gyqE7r7Gf0oohfClV8scVSqERyuY6mLaHkY_gcxYig,Orianna,cpVGyhZLQsc91TBYk-k3vXCzlMVtbH-B5VsstxYa7ZiNXYS1cBRdCCozZLl1VNaeLf82sWOskCv51A,Senna,p9lwkLRIgI_kcE_3Fekm4wvXzSDqAL8F7jkVGN0qLQC03Chxa6WwoKt-iTu7HsVQgUxuyVVS7F8jnQ,Sona,ccgA4SCZ8tmmQ6EStgK48UKNSPoib0lAQHZJg5t_mKttddn9vk-PjC1VhHraVIh3mE0V5k87A9t-AA,Aatrox,XvEOHkInW62CtUa4pAgSniEd1GBlA_MbVibNyD2tO1U_cfXfSbr-RFEb3gyuP79PcvkCRkVvJTvWrA,Ekko,D2eMJqRb9srpd4X67gjA58PSuv4DACaxf65FRsGppCBUp-mFxEmfZ-UrDjQY_MNqf9XJLA4et_9s9w,Annie,oO5z5iWU8XjBpXDt68QAGwsWN-3ImrqD-kJXWx2CQLVtkKJhzhJKjprrMKXKYyYaR6SwfM-eASmHjg,Jhin,xJfCMrgEtnkDfG3TtIgvBSRKP2ex4TT6xeHSOhFYCJWNFTWbUgOMnmYkIej2hRbuuC9hZptaGMmZRA,Nautilus,1,4,1,4,3,2,2,1,2,2,1,1,0,4,2,3,2,1,5,1,3,1,4,1,3,1,3,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,4985,10,6195,9,5375,12,5765,8,3708,7,5526,11,6564,10,4906,10,5890,8,4241,8,-1099,DIAMOND,I
1543,No,Red,9_dhT6LdeJEUaS79GyI2PvK06ykSd9x8PoPLGfw43pBjqHr_WSCsnwOYEHkaBGPGZKl691g-r3q33Q,Jax,blue,u9PAA02O3ZCQqWoYI1UzTfwpk83HP6dG2qThVsJEZkGW5Aoy5jMhkImLOaO2-O2Xo6n1lG0f3wXuvQ,Zac,oW7ClkG_Dm821o5V8sp9NAimbYUfEERfDxELcLICsqeaCO5WuGyvpd0IImb-NyaXVzCZ3JU7usJEjA,Yone,2vBstB_hB-t_ABMrQeV0-XJXo2-jTjR_HRFpMuh6E2L9fGtz56V_DPpnyY5c5O4Qa0ozqgobZlNBRg,Smolder,Z0WpiwZxcxp1IWgz3qp5OLNdG19jduV5_u2KpcQUB0RMZ0rHmbpfiZhuV3bVbx2x0jSEa9phL4Ek9A,Maokai,nuhCjKyo8wP5Y7xiJ7Ems9ywpgPCwRswF9-gclxAAS1pOO3En_H7-YeTiF715mVXSJ--cvISWK87Ag,Yasuo,c9x_TYGSSKEt_tla2lwo2s7e3ZgDOyLhA45DKSBqm218_0I9HTplcb8W128uJnDikscMMnhkO_Q2nw,MonkeyKing,ws4MywwRxCs3xMX3WCe4euiwDssXhbLU9cmlrUw-wemQnZvFgd2LGu-dhVF_b3O9wPEo4w8cKASIhA,Naafiri,cJnyvjucwbuJY0v527GsmOyIxPFZtZb9-REAwYNpDGChS6H6V3ugKdjjW51Kfjey08LI0vmQlce3cA,Seraphine,Jj2Vrry1PzkyJaXTuWaF-2Lx_3Iq-96pWmSjISFeZ6BIGjg9DuKMIp_8Zqvz9bzS48vbo1qWFDFGlA,Janna,1,5,1,1,1,1,3,3,0,2,1,1,0,2,2,5,2,3,2,0,3,2,3,4,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,4678,9,4380,8,5529,10,6314,10,3804,7,7196,11,5459,10,6064,10,5807,9,3723,7,-3544,DIAMOND,I
2363,No,Red,rt0NvtKm4MjkjrUVeDGD3qIZ4S5ul1udnnMdklCWz73S-LqJKTU_2WgwoFBU_qlGkJxsVAtNmeda6Q,Nasus,red,m6SjfEegF0eatK-UkcxUObRWjNjMkI0DsxjDPgxYX5yXefmM--HsGaBTf4B5tCyQ7OG0pkT7Abqp3Q,Nidalee,BIigWhFFDq5LaxE7oJAk6hwbbquaPCJzXUMXm1jMTEEpmeTTiKBaAZ4MFv3hvDy3fJ2SuHgpFgb0TA,Neeko,6WXZyB88h5XJmqS4UyRoZ0n-gK4WjUE3qw6IyunbYFJN9z77abgpOq2vMmMX889MX2ifvZUb3YTxow,Ashe,SFuT7gS5DMVXigkHDdGXGbG4H92IWy2OkmInHrL_W0aadJoD-r2-nLkZjMHFOCf3AyakN75YBVOIrg,Pyke,Uq8FwEgmg-WRrMuib9LQPczRqEyT2QN78NLiKWb6ufmxvGU5du9IS7T_1QG-NawI85kD7ayEZcFkKA,Udyr,OJ0ogmdXdoVmNxcmg-0jaey_jmnJuLxOF8SUD8myb1ETmFKqj_IpmAe1bgDe7GMikDRmqfm-snAmEQ,Briar,-bKj-C-gKRnjZMaS0mCXRlh2ykNoIkqIiBVLH8LIPmg4ARRIoI6dlRy_0t_pC5pMHzzJlqvi46zJzQ,Akali,_yHNRWRkHanF5kY387j0N7s2UHcrf-NSuLv1w60q2Rul3eIoGFkOGUY8TnTd0BeSKcqYsrNVj5gAaQ,Twitch,gOzER0xPpsFC3n18YMLr0_HcE5JmmG6lMa8soXvjnvFEnecpjrKLtwZCFQ_ks56brfkSdDKRIhrPfw,Yuumi,1,0,1,2,1,5,0,1,2,2,4,10,9,5,2,1,2,2,4,1,2,1,1,1,4,5,2,1,5,7,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,1,6277,11,5858,9,4526,10,6293,9,6286,7,5003,10,6540,9,5287,11,6284,8,5042,7,1084,DIAMOND,I
1020,Yes,Blue,tyjn2mt1h8Q-E8hZ3XCHT7YHQh9dtv3DxUo-NNJcPtzrtCIq26JH7doSx_1_HnPKC-QmSzeWnOUQ8A,Sion,red,oFYei7RCRfzokXU34gkCnE0PHHc67jQULveNIY3YdAnZXYdb3djD-q8OHIFX9JqHR2bWeKAvNAXu9w,Brand,qxP0NpSFLpgGnIl4x0brKTRcdbiMJf2cDIaYn_aUrkIAX6DOiAuyC8U746LSo3vHTHh4EGW7RU2YaA,Talon,NHkIO104VQYaiHT3heYf0tw1iqvLPmcX7N_oyuvuk-E-RWjfwUbsmfLsggVtacubowNSWLpmVM5ROw,Smolder,HTmZwuuWlharhILgu3y_CHJlKyTJtDlOiysN_6clT7KvcIheTcb_i0O2s6Qm63tv29zp-BW3rtvHOQ,Xerath,1F74_3CCbElrBmI75DbbagnCIXElkgigZ36osLVhok_kTvAGptVJIi93Ng6wrmUcF_LBupjam2lB4Q,Camille,6efVqhvO3DvjSRS6OEyW__Gg6FI_u0Jv41Qr93DIMMrIZh0PWYQa3-yK5VbLAdvmG2UpkyP2XQgSig,RekSai,kuAfOSH9dnE51Mr4b76nugZyUD_Ba4CKJxiJUtTc3rsvZGwfVn_qtXF8_9NyfjFmJ03k6zG5IUpnZw,Karma,CNXZidBZDCx7PrfnS_0oskLEZyyUibC9Ry3SnsY71mzQ10Hal7rrWUr5rH6YyzZBKTLwRBAMqZbAGw,Zeri,4Qwlvz9X8Iq0ajq_2TNn2BSDCtVn0W5RkiLpEck-dmbj9ASbQN5aY6wi2-gLrm-TB84hjy7HJKMUXA,Blitzcrank,4,4,2,8,2,4,4,4,4,5,1,3,1,2,7,0,2,2,9,6,3,2,3,3,1,6,3,0,4,5,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,6735,11,7479,10,6129,11,7328,9,4549,8,4652,11,8969,10,5218,10,6012,9,3678,7,3691,DIAMOND,I
1853,Yes,Blue,_goBGjH2Q8HvQ23aeTegIilBFT7Rsx1QIU13T8qzYPMxRg4gn_0I7REtkpCG5GVmEtsKrjkEi1HvRw,Irelia,blue,4kuaNdx0Xmz66Jo3Zz216EhKQT5nUW9tHStv3YgXov2kCZ2Wv5SIwrPURdZr2FWWDCKKeRwSj-TYlQ,Ekko,BaCAT_tdz5zhKiXywafHAVSNjvz781bXnGSwSk5xwiF5ObOi1rv9EB-N_IrCPXvJCqDLNiUddIkOFg,Zed,_qc0LIvJsnkvKWULmOl0AvsWjJRImb9PxoJMwF1AnGjgLD37Qb7gzQiQjCUthcpSXwGwO0xD-ByaCA,Lucian,XFOYE1HDo4m4oQ4lwOaTgxoNsKlU3xoJMzc4lZN7maJMzNq3Hcv19aBh1e1j3XEQm--bwTGERzSQdw,Milio,n6VqjwlgWEZgL5vXXhoNoO8NJVfG74D-dH0E1e9hoA596lm2XTuD-tNMpy4jg2AsOgTywUX0flCZrA,TahmKench,8EUeFgccfV5mfU-0RIRCCvHdo95N3xANlf9YMxMFx__NN5bhE-shNhJR2h9Vv5fv5bYVxHLgNcyakQ,Kayn,SvdSadyF8zVEOriaJT9n10feRU1S_G_50saLgPkw9L2xCsze6AbpxosLvA3l1lbmUaaWaEYG2fEEvQ,Leblanc,2NO91Glv41H4MMVJ0BzP0bC7yFRVsaz0bgLy8_7J5TB__WX0zGUoS6SprvdUsyCmjIixWPXSlHZH6w,Draven,yyC8CKfoylUyaveywCblmrDBA2c-xjzC7AkwbtBI6cuKwJ-E1AcfzK93x0depUSYUCO8nIPyAPVNjw,Renata,2,0,0,6,2,3,1,2,0,2,4,3,0,2,6,0,2,0,2,2,2,2,1,2,6,3,1,0,3,8,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,6484,11,8249,10,4865,10,5791,8,4244,7,4422,10,5099,8,5907,11,7192,8,4564,8,2449,DIAMOND,I
1859,No,Red,0nRR0V_DTXwA0e2-TgTgyxZWlO_U2iNpDq2zVh2EgaGIlk1xduje6QjngRlQVUgusBPKxBrJhZH5mA,Fiora,red,AFlHFEDdOGj26RqEZCh9-MY7OME2svaOzWXWoZ_hz8vU-9G6wZHk_gjX8Y9C69m1hTbjzHG_R5XcjA,Viego,lhnmHTDQmI5nSFZxLeppTMaqO5EHpnMzO5_kHemQpDbQ0kAQzbLnkZeU8bFVghHmEa16gjr6zYO6ZQ,Sion,F63Du0pBH0pfz5TsFg8W4Uwphdf8XaGmYSwI27vjzs8lKWrzrhEEAgIl4DO0z6q5W9_gkg9OCDG_Zw,Twitch,IYzSWVKtLeIgoJXESghtVr1sLrTJOaNSG6daEs8fHISPTzI0cPRYwTcfKozspPNUGYvfbEiT74HKwg,Thresh,ny7_br-cUF-OBCdk1fwSsxtUblI7mUh4uoBSI6cHBvLfP_Va6v7RYA3LlWaH5T9SbemOxsUF3dnIQg,Shen,sjWOXKJEOzo5WGV9gfYMEkHiKKG7D3azu8r-pni1AdX0IELzqoOVhBjOdhBUc9ZDZ1NEpH9k4oGiGw,Kindred,GU0J1XRv0LpAneKTTH5PjsNlGdp4UZvrqrb4brd3ce0N5ysLjzJx3v3PUqYOuVdzPMhaXjfzUoMkKg,Neeko,bv26xi8nxixm1BYIb5UW-9BDYCpYGUIKNyxiykj1pKpf1Dwf1konSi6Qo1rwEhV_PhFs5S5YyzrEQw,Zeri,lycxpdj8B8pj3Unae8w0QvIRAb2tXtdXkoQOPsXwvRTBgpwNVgwikpmYSU_xKnaXMl0Wf3lziT4k3A,Braum,1,2,0,1,1,0,0,6,0,3,4,1,0,8,2,3,1,2,3,0,4,7,1,2,7,1,2,1,2,12,0,1,0,0,0,0,0,0,0,0,0,1,3,3,0,0,5165,10,4994,9,5835,11,6780,9,3911,7,5486,10,5306,9,6441,10,7207,10,5034,8,-2789,DIAMOND,I
2073,No,Blue,4gt5ZuASaItJHitJ2z4QiXcVwzCvNDsD7P8ENHeYiGPiGJNsZWPGFxyyN8tO7DUgM8WsmbrLd9hsSA,KSante,red,4P8Lh1fkPxiLCcMmphMUmluB5uv57CuJqWJbD0j2jIwxbYZOe-AnXTEx-5AbDGFamZeLJlwrTpILOA,Belveth,McRyOylCzcdxMhOUoEMwSPSK31wiNtS8XzSfwCnKDO1J3XO1-xxWWG5ApZU12MC5mwWc_ID2amYZog,Hwei,fmj4bhiYFtNG75DU-2k0lUfEO1yVHPrHkciRRTfdR8wSNPzhUrzucKbv61GBdwjr3ONREyeg_Tmk5A,Lucian,Dy74fTTnXKa4b-REb82QTAacjo_1-Caibp1Xq1ulXM_HhpMvEJuFCNnz58Y6p4DDzylT2HEOqlYzsw,Taric,Afx6HTPy8f2QHI0sIghpkO5iFupajTnBn_tpQdoca14zKNiannPyRR3lqv41jr3fEVvs2VqX-k99bw,Quinn,cq9j3vXr9KzeZVQXqRPREhY2YSaO-61aHJSVYXsfVV0lEpYVq9JG2O4N-E8A2GVXtXCRTD-rtL_eDg,Ivern,3uwj9-6T6pcIU4fpGt7du94xP1FHaYbOnb7hNZ8szfwak54u__PT2cIh2TZHqDrTpk5wBtSHF9lHUw,TwistedFate,q614lGGbvi3-xnOjD0lvmd3tz-7yjWD5M8aNY72WaUw2-qw0QOcZ8W9bOrrhV2fufAfaIy71GW8cWg,Twitch,a60tI79e-mqcCdTtJ5rVHzbCnkv18uHD_s1gO7snS6yKky0VQmnVfIAnKGyO34YXuy6K5uh67iYH-g,Nami,3,1,0,0,3,1,0,2,1,4,2,2,3,1,4,1,2,0,3,1,3,0,1,3,5,4,1,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,5275,11,4756,9,4755,11,6856,8,5189,8,4532,9,5615,9,5551,10,5893,8,3908,8,1332,DIAMOND,I
1594,No,Blue,YxcWpk-CAtKfi8yPRL7S7MZDuAIsmZMxOtpN0x3UMlQHRTPu_88swfBUKwi80rfeJAYxVoPAluAHkQ,Tryndamere,blue,Mtgepj8FV1h8hNvCpTFJnj7mhrGtqK1alPoE4oBpggo70-fOv9Az4Q-n0_U450VDWJqKOg2BGexOMQ,LeeSin,pSwW9mHV5Dv8pgWIL99a2hG-cXhT0aSU6pAejrT2rhXmJ7nuJm-T_wZzZWyjVqbz95ql9HouZjSuWQ,Akali,P2KhYXZ6-b5UBjc7eI4vNfxqCMxROpw0MMkjFiYlPPs4SZsHa-5XjXIJA6wStLXN6f5-KuMro35BWQ,Caitlyn,kyu9R_9q3MuDg-y5X6KIsSm72LJK6HSS6WfGCDkN5EwwhVy_8Dh0NG7-T9re6j8b5u6-RP2sR_2Tuw,Janna,GRCaVSYfXiAIP6GFz0WRhS21JXBOl9WctiThJKMrAEsbNViARJnCCzsZTYpfNXcV8pAVu-vL1K0wjg,Zac,rO8V9jsH2dxrlydi_PFMAMNKpefB25ZTgdQlhWSeWIpDycrznX_qo9qQna41FBBX0LEMgVT2stj4Iw,Viego,XNJuLV9VYwZ8T-T4Z53FSR-_huolGQAMX7HMDHyFrJ-mLC8bIlqmQ_zvA2cqqKFvassejiXQ8M-Dbg,Azir,BR1Gd8A-pz6E2wCx9eW5ERAIFgggt019BSqjsLzZbG-SCz_kZoJ3uhL2q2ss_W6XVHcXMDkTcfL-Yw,Lucian,ULKEYFLYAUNLjFLTTlWQRag7NqOh0uAUYzvjHjl8vJvCBhnEJ3yXlz-wxL72AUqoCRFYmDpQSO4-GQ,Karma,5,2,1,5,1,5,5,2,2,1,2,0,0,1,2,1,1,0,3,8,0,1,4,2,2,2,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,7815,12,7013,10,6216,10,5173,8,3572,8,5557,11,5155,8,4770,10,5569,9,3962,8,4776,DIAMOND,I
1169,Yes,Red,qqcNTMjo_QzbtD4z1Yic-EURy8bO31LoRAyK-EdKJj0mmvZrvz7OKVeP35Z4HwLVCvZDIJyI8i7EMg,Malphite,red,jW2jlQEFd7ajyZVBCE_i8h5stBVyyQYHGZxqIpq5twqQU7FI5ZAciZnGEn2HkZpSRTbQFDS9PHutiA,Brand,quN2nLT8UojN7RyP3YseYVoD88VX5hriAtu211VDAgJVob43P8y2pOKwj6AgHiBgn35LTzCxulirig,Katarina,F4PFrvxC9TRoyg3-r_tIZuTImr7P60FIu2EVN7xiCHR1KZfen3awaCNCndaIjhrC3PlxvDYSPoRFrg,Smolder,UwbI0ECc1N_MAFTpSyprAktaVU4YE6260UoGq90zrZ-SzGnt52kRyYKecA2EhdxQqvLpR-su-Ao1Mg,Thresh,g9l6HhgvMUoqfYUXQKG7Xp6Cw_ezcq-v7iLpn8Ie90vJOB9JgQbrond0pGXmia4qYQFrWbXlOhQfaQ,Shen,UF0cifgZKr2Xd-TopSE7rdwdNdakroG1XJ9EIoKJlDfYnAeMmh35Y3VGxK_wOeRzs0h204OP6SfWnQ,Nunu,hz8Pz9w99A-pDRx9wXhgVpzlSbsGIstu0Xn3lNge5SGhhYEUxzVmROE4xQ_uXIKCg_1Lt6xDySbMDw,Corki,8fO5lH8zO8FypLpLNA4Yf3n9spGqa7cn0qGJ1uWH9wgiMTJ4YsjZIvo4AXaWuOpr2f5EoF_cSpnrpg,Ezreal,m04eZgob3CxSltwp-0ugkoZNpxjrcYSZSPH907UNvNn_aOzYnvHWgcbKWmO0BrJfxlKH9OsWaI6JkA,Nami,0,4,0,0,5,0,1,4,0,1,2,3,2,5,2,4,0,6,4,2,5,6,0,5,5,1,1,1,1,7,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,4230,10,4520,9,4073,9,4979,8,4262,7,6040,11,5642,9,7341,11,7656,9,4976,7,-9591,DIAMOND,I
920,Yes,Red,ZndzDDJFk1JKV9YJx-8ApVnuA05Q83gzFFoMiA7ij6IA4edzfhgSggvrxI2Pse86SzWnXaVWDqEJUA,TwistedFate,red,p6WDsI4LBaDrimCkBbnRgpjUbHVPoargdXunTz0MHBe8dAN3RlVTjUwsiQooh04xaKEgAs6heAvJfA,Teemo,jjEfWkyTVVVQUCdRzJsqUc3zXbx5wB9DPY-bTpD5BjB0EB-qfe7sb4d9H3M7eDQnEKfhZw2G6mX9Eg,Vladimir,6l5M7yxj3KIi7KOsPSczu5_ONX5V26aI2d90FMvHVSXyO55mjzKA37OFKoxd4FNhrojferZeq-LHhw,Kaisa,PBsytks_0LwTsqANslIg6l8m_AStEGhf5o6Pumb1K4xD_mx15CRHRrYaEU4BpjIemxL5LFNxJXSkfA,Pyke,MPyi-xCp-i7uF1i6JD672UED4LDlLB8FlqFWVbTntNn2w-lGEqHRvReioDS8oREiU5WGwrFpjmeMwg,Akali,gGOf05mcxyko2rnyCj2lzMzq1YK_5IPUVhlep64ORf1vZSLmrWUj3mRDhYTZZIDfhHcC25Vv9Xt5kw,Khazix,yA-IQbTt9jzwU8Sw_NwRNIkfq1lFKyqtd2AdReeGnDudfDOMoHfGQOfuwMe1Ddp2jhTpYTy7oiaP1A,Cassiopeia,tsL4wNb7bhz0OQYia1SijGH85qGeRdX2x1tKCFP-GOmU0Cy6TF2Opyyw7aQcudo_oVEUatxnRgEF2w,Zeri,NDpylhRkxvYt4g0trXd2GLIrPVz4O-Q3CIokf5I2ZpyBrgKQ_2reF7swtnyd_RRnDrOvJwAgU1QFcA,Sona,0,4,0,0,3,1,4,2,0,1,2,1,1,3,3,5,0,0,2,2,3,1,3,1,6,0,2,0,1,6,0,0,0,1,0,0,0,0,0,0,1,0,3,3,0,0,5098,10,4461,9,6449,10,4760,9,4191,7,7123,12,6106,10,4819,9,8213,9,4842,9,-6144,DIAMOND,I
